Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Insulin signaling pathway,0.26641777451615795,1.9346713814273881,0.0,0.005930611462526356,137,111,AKT1;MAP2K1;ARAF;FBP1;GRB2;BRAF;MAPK1;KRAS;CRKL;PTPN1;CALM2;RAF1;ACACA;PDPK1;RHEB;SOCS1;CALM1;INPPL1;NRAS;RPS6KB2;TRIP10;PRKAG3;SHC4;PRKACG;SHC1;MAPK9;CBLB;PPP1CA;MTOR;PRKAB2;PYGL;MAPK8;PRKAR2A;PIK3CA;PRKACB;EIF4E;GYS1;PRKAA2;PRKAR1A;RPS6KB1;INS;PTPRF;RPS6;BAD;GCK;ACACB;PHKB;ELK1;GSK3B;SOCS2;PIK3CD;TSC2;G6PC3;PRKAR1B;MAPK3;SOCS4;RPTOR;CBL;PPARGC1A;PYGB;PIK3R3;PRKAB1;MAP2K2;PRKCI;IRS1;PRKAR2B;PRKAG1;CRK;SLC2A4;SOCS3;PCK2;PRKACA;PIK3R2;PCK1;PRKAG2;MKNK1;HK1;TSC1;MKNK2;G6PC;HRAS;HKDC1;FOXO1;PIK3R1;FASN;PDE3B;PIK3CB;CALM3;PHKA1;PYGM;AKT3;HK3;PRKAA1;G6PC2;SOS2;PKLR;PRKCZ;PPP1CC;PHKG1;CALML6;SREBF1;IKBKB;AKT2;EIF4EBP1;PHKG2;IRS2;INSR;HK2;SOS1;PHKA2;MAPK10,AKT1;MAP2K1;ARAF;FBP1;GRB2;BRAF;MAPK1;KRAS;CRKL;PTPN1;CALM2;RAF1;ACACA;PDPK1;RHEB;SOCS1;CALM1;INPPL1;NRAS;RPS6KB2;TRIP10;PRKAG3;SHC4;PRKACG;SHC1;MAPK9;CBLB;PPP1CA;MTOR;PRKAB2;PYGL;MAPK8;PRKAR2A;PIK3CA;PRKACB;EIF4E;GYS1;PRKAA2;PRKAR1A;RPS6KB1;INS;PTPRF;RPS6;BAD;GCK;ACACB;PHKB;ELK1;GSK3B;SOCS2;PIK3CD;TSC2;G6PC3;PRKAR1B;MAPK3;SOCS4;RPTOR;CBL;PPARGC1A;PYGB;PIK3R3;PRKAB1;MAP2K2;PRKCI;IRS1;PRKAR2B;PRKAG1;CRK;SLC2A4;SOCS3;PCK2;PRKACA;PIK3R2;PCK1;PRKAG2;MKNK1;HK1
MicroRNAs in cancer,0.25999392606149047,1.9436208425258603,0.0,0.005954670738236403,299,129,MAP2K1;IGF2BP1;GRB2;MAPK1;SLC7A1;TP53;KRAS;CRKL;RAF1;EGFR;SIRT1;MIR34A;PDGFRA;CDK6;PRKCE;SOCS1;CCND1;CCND2;DNMT1;MCL1;RDX;DDIT4;NRAS;MYC;FGFR3;RHOA;NOTCH1;PRKCB;ERBB2;CREBBP;NFKB1;SHC4;CASP3;SHC1;TGFB2;EZH2;EP300;MTOR;BMI1;PIK3CA;BCL2L2;CDC25A;E2F1;PRKCG;ABL1;DICER1;STMN1;ZEB1;STAT3;BCL2;PAK4;RPS6KA5;ZEB2;VIM;PIM1;CDKN1A;RPTOR;CDC25B;MET;SLC45A3;PTEN;PDGFRB;HMOX1;BRCA1;ABCC1;TIMP3;HMGA2;MARCKS;MAP2K2;IRS1;MAPK7;RASSF1;PLCG2;ERBB3;SOX4;CRK;CDKN1B;BAK1;VEGFA;PLCG1;TNC;ROCK1;FOXP1;PIK3R2;CDC25C;PLAU;MDM4;NOTCH2;BMPR2;DNMT3B;PRKCA;HDAC4;DNMT3A;HRAS;ATM;CCNE1;CYP1B1;EFNA3;WNT3;TP63;APC;ABCB1;HDAC1;SOS2;MDM2;E2F3;CYP24A1;GLS;BCL2L11;PTGS2;TPM1;CD44;ITGB3;ST14;IKBKB;CCNG1;SERPINB5;CCNE2;CDKN2A;MMP9;FZD3;IRS2;SPRY2;SOS1;BMF;FSCN1;THBS1;HOXD10;ZFPM2,MAP2K1;IGF2BP1;GRB2;MAPK1;SLC7A1;TP53;KRAS;CRKL;RAF1;EGFR;SIRT1;MIR34A;PDGFRA;CDK6;PRKCE;SOCS1;CCND1;CCND2;DNMT1;MCL1;RDX;DDIT4;NRAS;MYC;FGFR3;RHOA;NOTCH1;PRKCB;ERBB2;CREBBP;NFKB1;SHC4;CASP3;SHC1;TGFB2;EZH2;EP300;MTOR;BMI1;PIK3CA;BCL2L2;CDC25A;E2F1;PRKCG;ABL1;DICER1;STMN1;ZEB1;STAT3;BCL2;PAK4;RPS6KA5;ZEB2;VIM;PIM1;CDKN1A;RPTOR;CDC25B;MET;SLC45A3;PTEN;PDGFRB;HMOX1;BRCA1;ABCC1;TIMP3;HMGA2;MARCKS;MAP2K2;IRS1;MAPK7;RASSF1;PLCG2;ERBB3;SOX4;CRK;CDKN1B;BAK1;VEGFA;PLCG1;TNC;ROCK1;FOXP1;PIK3R2;CDC25C;PLAU;MDM4;NOTCH2;BMPR2;DNMT3B;PRKCA;HDAC4;DNMT3A;HRAS;ATM;CCNE1;CYP1B1;EFNA3
MAPK signaling pathway,0.2318211775862839,1.9476717596030984,0.0,0.00605913864592476,295,233,AKT1;MAP2K1;ARAF;DUSP6;MAX;GRB2;BRAF;DUSP4;MAPK1;TP53;MAPKAPK2;PPP3CA;KRAS;CD14;CRKL;RAF1;TGFBR2;EGFR;TGFB1;MAP4K4;DUSP2;PDGFRA;MAP3K1;KIT;NFATC3;GADD45A;EPHA2;RPS6KA4;FGFR2;MAP3K13;MAP3K11;MAPK12;RELB;ELK4;TAOK2;MAPK14;NRAS;LAMTOR3;MYC;ATF2;FGFR3;PPP3R1;RASGRP4;PRKCB;RAC1;ERBB2;CDC42;MAPKAPK5;NFKB1;RRAS2;MEF2C;CASP3;PRKACG;ECSIT;TGFB2;MAPK9;RPS6KA1;FAS;MAP3K7;FLNB;DUSP5;FGF1;MAPK13;HSPA2;MAPK8;CACNA1S;PLA2G4A;HSPA1A;MAP2K4;FGFR1;RPS6KA3;MAPK11;NR4A1;PRKACB;MAP4K1;MAP3K5;CACNA1F;PRKCG;MAP3K20;NFATC1;AREG;IL1R1;HSPA1B;DDIT3;GNG12;MAP2K3;RELA;ERBB4;INS;STMN1;JUN;TEK;VEGFC;TAOK3;CACNA2D2;PPP5C;TAOK1;CACNG3;ELK1;RPS6KA5;CACNA1C;JMJD7-PLA2G4B;MAP3K8;MAP2K6;RASA1;MAPK3;MAP3K3;TAB2;TNFRSF1A;DUSP7;MAP3K14;FGF2;CDC25B;MET;IL1RAP;MAPKAPK3;PDGFRB;GADD45B;IRAK1;IGF1;TGFB3;TGFBR1;STK3;PDGFC;IKBKG;FLT4;CACNA1I;DAXX;MAP4K3;MAP2K2;SRF;NGFR;MAPK7;ERBB3;CACNB3;HSPA8;CRK;NTRK1;MAP3K6;VEGFA;FASLG;JUND;PRKACA;EFNA4;MYD88;NLK;FLT1;MAP3K4;STK4;MKNK1;CSF1;PTPN7;MAP2K7;FOS;FLT3;EREG;NGF;MKNK2;MAPT;NTRK2;CACNA1H;RASGRP1;PRKCA;TRAF2;MAP4K2;CACNG1;PPP3CC;HRAS;DUSP10;ATF4;EFNA3;RAC3;TGFA;CHUK;IGF1R;MAP2K5;PAK2;GNA12;PPP3R2;IGF2;PAK1;AKT3;NF1;CACNG2;PPP3CB;DUSP3;TRADD;KITLG;RPS6KA6;CACNB2;IRAK4;CACNA1G;MAPK8IP1;SOS2;MAP3K2;PGF;EFNA1;TNF;DUSP1;FGF10;FGF9;RASGRP2;CACNA1D;NFKB2;CACNA1A;DUSP16;PDGFD;EGF;VEGFB;KDR;MAP3K12;ARRB1;CSF1R;CACNB4;IKBKB;TRAF6;AKT2;ANGPT1;FGFR4;IL1B;INSR;PTPN5;RAP1A;HSPB1;SOS1;MECOM;CACNB1;BDNF;RPS6KA2;DUSP9;RASGRP3;PPM1B;MAPK10,AKT1;MAP2K1;ARAF;DUSP6;MAX;GRB2;BRAF;DUSP4;MAPK1;TP53;MAPKAPK2;PPP3CA;KRAS;CD14;CRKL;RAF1;TGFBR2;EGFR;TGFB1;MAP4K4;DUSP2;PDGFRA;MAP3K1;KIT;NFATC3;GADD45A;EPHA2;RPS6KA4;FGFR2;MAP3K13;MAP3K11;MAPK12;RELB;ELK4;TAOK2;MAPK14;NRAS;LAMTOR3;MYC;ATF2;FGFR3;PPP3R1;RASGRP4;PRKCB;RAC1;ERBB2;CDC42;MAPKAPK5;NFKB1;RRAS2;MEF2C;CASP3;PRKACG;ECSIT;TGFB2;MAPK9;RPS6KA1;FAS;MAP3K7;FLNB;DUSP5;FGF1;MAPK13;HSPA2;MAPK8;CACNA1S;PLA2G4A;HSPA1A;MAP2K4;FGFR1;RPS6KA3;MAPK11;NR4A1;PRKACB;MAP4K1;MAP3K5;CACNA1F;PRKCG;MAP3K20;NFATC1;AREG;IL1R1;HSPA1B;DDIT3;GNG12;MAP2K3;RELA;ERBB4;INS;STMN1;JUN;TEK;VEGFC;TAOK3;CACNA2D2;PPP5C;TAOK1;CACNG3;ELK1;RPS6KA5;CACNA1C;JMJD7-PLA2G4B;MAP3K8;MAP2K6;RASA1;MAPK3;MAP3K3;TAB2;TNFRSF1A;DUSP7;MAP3K14;FGF2;CDC25B;MET;IL1RAP;MAPKAPK3;PDGFRB;GADD45B;IRAK1;IGF1;TGFB3;TGFBR1;STK3;PDGFC;IKBKG;FLT4;CACNA1I;DAXX;MAP4K3;MAP2K2;SRF;NGFR;MAPK7;ERBB3;CACNB3;HSPA8;CRK;NTRK1;MAP3K6;VEGFA;FASLG;JUND;PRKACA;EFNA4;MYD88;NLK;FLT1;MAP3K4;STK4;MKNK1;CSF1;PTPN7;MAP2K7;FOS;FLT3;EREG;NGF;MKNK2;MAPT;NTRK2;CACNA1H;RASGRP1;PRKCA;TRAF2;MAP4K2;CACNG1;PPP3CC;HRAS
AMPK signaling pathway,0.2743875126482333,1.9490165696412591,0.0,0.0061673375503162745,120,100,AKT1;FBP1;ACACA;SIRT1;CCNA2;PDPK1;RHEB;EEF2K;ELAVL1;CCND1;PPARG;HNF4A;CFTR;RPS6KB2;EEF2;ADIPOR2;FOXO3;PRKAG3;PFKFB1;CREB3;STRADB;PPP2R3A;CREB3L2;MTOR;MAP3K7;PRKAB2;PPP2R2D;PPP2R5E;ULK1;PIK3CA;PFKFB4;PPP2R5B;STK11;GYS1;CREB1;PRKAA2;PFKM;HMGCR;LEPR;RPS6KB1;INS;ADRA1A;ACACB;PIK3CD;TSC2;G6PC3;CPT1A;PPP2R2C;RPTOR;PPP2CA;IGF1;LEP;PPP2R2A;PPARGC1A;PFKFB3;PIK3R3;CAMKK2;PRKAB1;PPP2R1A;IRS1;STRADA;PRKAG1;SLC2A4;CREB3L4;PFKP;PCK2;PFKFB2;PIK3R2;PCK1;PRKAG2;ADIPOR1;TSC1;PPP2R5C;AKT1S1;CCNA1;G6PC;PPP2R5A;FOXO1;PIK3R1;FASN;PPP2R3C;PIK3CB;IGF1R;AKT3;CD36;CPT1B;PRKAA1;G6PC2;SCD;CAB39;CREB3L1;MLYCD;PPP2CB;SREBF1;AKT2;PFKL;EIF4EBP1;IRS2;INSR;CREB5,AKT1;FBP1;ACACA;SIRT1;CCNA2;PDPK1;RHEB;EEF2K;ELAVL1;CCND1;PPARG;HNF4A;CFTR;RPS6KB2;EEF2;ADIPOR2;FOXO3;PRKAG3;PFKFB1;CREB3;STRADB;PPP2R3A;CREB3L2;MTOR;MAP3K7;PRKAB2;PPP2R2D;PPP2R5E;ULK1;PIK3CA;PFKFB4;PPP2R5B;STK11;GYS1;CREB1;PRKAA2;PFKM;HMGCR;LEPR;RPS6KB1;INS;ADRA1A;ACACB;PIK3CD;TSC2;G6PC3;CPT1A;PPP2R2C;RPTOR;PPP2CA;IGF1;LEP;PPP2R2A;PPARGC1A;PFKFB3;PIK3R3;CAMKK2;PRKAB1;PPP2R1A;IRS1;STRADA;PRKAG1;SLC2A4;CREB3L4;PFKP;PCK2;PFKFB2;PIK3R2;PCK1;PRKAG2;ADIPOR1;TSC1;PPP2R5C;AKT1S1;CCNA1;G6PC;PPP2R5A;FOXO1;PIK3R1;FASN
Epstein-Barr virus infection,0.24813948731261046,1.9494042544965715,0.0,0.006279470960322025,201,174,AKT1;TYK2;TP53;HLA-DRA;CD3G;HDAC2;CCNA2;OAS1;IKBKE;HES1;GADD45A;CDK4;CDK6;CCND1;CCND2;MAPK12;RELB;MAPK14;B2M;CDK2;MYC;HLA-DOA;TRAF3;SIN3A;HLA-DRB1;RAC1;PSMD1;TLR2;OAS3;NFKB1;BID;CD58;CD247;CASP3;HLA-DRB4;TNFAIP3;MAPK9;FAS;MAP3K7;USP7;FADD;MAPK13;MAPK8;IFNA1;CALR;MAP2K4;HLA-DMB;PIK3CA;CASP9;MAPK11;IFNA2;E2F1;HLA-DMA;CD19;SAP30;HLA-DPB1;CD40;CCND3;NFKBIB;NFKBIE;MAP2K3;RELA;BAX;JAK1;HLA-DQA2;JUN;IFNA21;FCER2;NFKBIA;CR2;STAT3;BCL2;HLA-DRB5;TAP2;SYK;PIK3CD;MAP2K6;VIM;LYN;HLA-DOB;HLA-A;TAB2;CDKN1A;SKP2;RUNX3;IL6;IRF7;MAP3K14;IFNA7;CXCL10;IFNAR1;EIF2AK2;RB1;CASP8;GADD45B;IRAK1;PIK3R3;IKBKG;IFNA16;ISG15;CIR1;STAT2;PLCG2;HLA-DQB1;ICAM1;CDKN1B;BAK1;ENTPD3;SNW1;IFNA10;MYD88;PIK3R2;IRF3;JAK3;TBK1;HLA-B;MAP2K7;DDB2;HLA-DPA1;CCNA1;TRAF2;ENTPD1;BTK;IFNB1;CCNE1;PIK3R1;RBPJ;DDX58;PIK3CB;CD3E;IFNA8;CHUK;STAT1;RIPK1;IFNAR2;HLA-DRB3;AKT3;ITGAL;NCOR2;IRF9;HLA-DQA1;TRADD;HDAC1;IRAK4;CD3D;IFNA14;CYCS;MDM2;E2F3;BLNK;PSMD3;TNF;OAS2;NFKB2;IFNA5;BCL2L11;APAF1;IFNA17;CD44;TAP1;IKBKB;TRAF6;AKT2;PSMD4;IFNA4;CCNE2;TRAF5;TAPBP;PSMD2;PSMC5;NEDD4;PSMD8;PSMD12;MAPK10,AKT1;TYK2;TP53;HLA-DRA;CD3G;HDAC2;CCNA2;OAS1;IKBKE;HES1;GADD45A;CDK4;CDK6;CCND1;CCND2;MAPK12;RELB;MAPK14;B2M;CDK2;MYC;HLA-DOA;TRAF3;SIN3A;HLA-DRB1;RAC1;PSMD1;TLR2;OAS3;NFKB1;BID;CD58;CD247;CASP3;HLA-DRB4;TNFAIP3;MAPK9;FAS;MAP3K7;USP7;FADD;MAPK13;MAPK8;IFNA1;CALR;MAP2K4;HLA-DMB;PIK3CA;CASP9;MAPK11;IFNA2;E2F1;HLA-DMA;CD19;SAP30;HLA-DPB1;CD40;CCND3;NFKBIB;NFKBIE;MAP2K3;RELA;BAX;JAK1;HLA-DQA2;JUN;IFNA21;FCER2;NFKBIA;CR2;STAT3;BCL2;HLA-DRB5;TAP2;SYK;PIK3CD;MAP2K6;VIM;LYN;HLA-DOB;HLA-A;TAB2;CDKN1A;SKP2;RUNX3;IL6;IRF7;MAP3K14;IFNA7;CXCL10;IFNAR1;EIF2AK2;RB1;CASP8;GADD45B;IRAK1
NOD-like receptor signaling pathway,0.2602904087414508,1.9575527554432852,0.0,0.006318964488374363,178,142,TYK2;MAPK1;TXN;NLRP7;HSP90AA1;OAS1;IKBKE;BCL2L1;GBP4;CARD6;ITPR1;NOD2;NLRC4;TMEM173;MAPK12;GBP7;MAPK14;BIRC3;HSP90AB1;PSTPIP1;RHOA;TRAF3;CXCL1;VDAC1;PRKCD;TP53BP1;CXCL3;OAS3;NFKB1;TNFAIP3;MAPK9;MAP3K7;FADD;MAPK13;CASP1;MAPK8;IFNA1;TXNIP;MAPK11;IFNA2;ERBIN;PLCB3;GBP5;IFI16;RBCK1;NFKBIB;RELA;CASP5;JAK1;TRPM2;JUN;IFNA21;NAMPT;NFKBIA;BCL2;SUGT1;ATG16L1;TLR4;ATG5;GABARAPL1;NLRP3;MAPK3;TAB2;IL6;BIRC2;IRF7;CCL5;IFNA7;IFNAR1;CASP4;CASP8;TICAM1;CXCL2;TANK;SHARPIN;CARD9;CASR;GBP1;GBP3;NAIP;IKBKG;IFNA16;IL18;NLRP1;CYBB;CTSB;DEFB4A;STAT2;DNM1L;TRPM7;PLCB1;TRPV2;RIPK2;IFNA10;MYD88;IRF3;TBK1;GBP2;P2RX7;PANX1;TRAF2;GPRC6A;IFNB1;PYCARD;ANTXR2;AIM2;IFNA8;NOD1;CHUK;STAT1;RIPK1;IFNAR2;CARD8;ITPR2;CAMP;IRF9;MEFV;IRAK4;NEK7;XIAP;VDAC2;IFNA14;ITPR3;TNF;OAS2;RIPK3;CXCL8;IFNA5;RNASEL;IFNA17;CYBA;TAB3;IKBKB;TRAF6;IFNA4;IL1B;TRAF5;CCL2;ATG12;PLCB4;RNF31;MAPK10,TYK2;MAPK1;TXN;NLRP7;HSP90AA1;OAS1;IKBKE;BCL2L1;GBP4;CARD6;ITPR1;NOD2;NLRC4;TMEM173;MAPK12;GBP7;MAPK14;BIRC3;HSP90AB1;PSTPIP1;RHOA;TRAF3;CXCL1;VDAC1;PRKCD;TP53BP1;CXCL3;OAS3;NFKB1;TNFAIP3;MAPK9;MAP3K7;FADD;MAPK13;CASP1;MAPK8;IFNA1;TXNIP;MAPK11;IFNA2;ERBIN;PLCB3;GBP5;IFI16;RBCK1;NFKBIB;RELA;CASP5;JAK1;TRPM2;JUN;IFNA21;NAMPT;NFKBIA;BCL2;SUGT1;ATG16L1;TLR4;ATG5;GABARAPL1;NLRP3;MAPK3;TAB2;IL6;BIRC2;IRF7;CCL5;IFNA7;IFNAR1;CASP4;CASP8;TICAM1;CXCL2;TANK;SHARPIN;CARD9;CASR;GBP1;GBP3;NAIP;IKBKG;IFNA16;IL18;NLRP1;CYBB;CTSB;DEFB4A;STAT2;DNM1L;TRPM7;PLCB1;TRPV2;RIPK2;IFNA10;MYD88;IRF3
VEGF signaling pathway,0.3016687107946815,1.9495054304719337,0.0,0.006395757459587248,59,52,AKT1;MAP2K1;MAPK1;MAPKAPK2;PPP3CA;KRAS;RAF1;SPHK1;SRC;MAPK12;MAPK14;NRAS;PPP3R1;PRKCB;NFATC2;RAC1;CDC42;PTK2;MAPK13;PLA2G4A;PIK3CA;CASP9;MAPK11;PRKCG;BAD;JMJD7-PLA2G4B;PIK3CD;MAPK3;MAPKAPK3;PIK3R3;MAP2K2;PLCG2;VEGFA;PLCG1;PIK3R2;PRKCA;PPP3CC;HRAS;PXN;PIK3R1;RAC3;SPHK2;PIK3CB;PPP3R2;AKT3;PPP3CB;SH2D2A;PTGS2;KDR;AKT2;HSPB1;NOS3,AKT1;MAP2K1;MAPK1;MAPKAPK2;PPP3CA;KRAS;RAF1;SPHK1;SRC;MAPK12;MAPK14;NRAS;PPP3R1;PRKCB;NFATC2;RAC1;CDC42;PTK2;MAPK13;PLA2G4A;PIK3CA;CASP9;MAPK11;PRKCG
Non-small cell lung cancer,0.30601122901690797,1.9175999981661302,0.0,0.00664494281515558,66,63,AKT1;MAP2K1;ARAF;GRB2;BRAF;MAPK1;TP53;KRAS;RAF1;EGFR;PDPK1;GADD45A;CDK4;CDK6;RXRA;CCND1;EML4;RXRG;NRAS;FOXO3;PRKCB;ERBB2;PIK3CA;CASP9;E2F1;PRKCG;BAX;BAD;STAT3;PIK3CD;MAPK3;CDKN1A;RARB;RB1;GADD45B;PIK3R3;MAP2K2;RASSF1;PLCG2;RASSF5;FHIT;BAK1;PLCG1;PIK3R2;STK4;STAT5A;JAK3;DDB2;ALK;PRKCA;HRAS;PIK3R1;TGFA;PIK3CB;AKT3;RXRB;SOS2;E2F3;EGF;AKT2;CDKN2A;STAT5B;SOS1,AKT1;MAP2K1;ARAF;GRB2;BRAF;MAPK1;TP53;KRAS;RAF1;EGFR;PDPK1;GADD45A;CDK4;CDK6;RXRA;CCND1;EML4;RXRG;NRAS;FOXO3;PRKCB;ERBB2;PIK3CA;CASP9;E2F1;PRKCG;BAX;BAD;STAT3;PIK3CD;MAPK3;CDKN1A;RARB;RB1;GADD45B;PIK3R3;MAP2K2;RASSF1;PLCG2;RASSF5;FHIT;BAK1;PLCG1;PIK3R2;STK4;STAT5A;JAK3;DDB2;ALK;PRKCA;HRAS;PIK3R1;TGFA;PIK3CB
Fanconi anemia pathway,0.3872068147788613,1.9143142929595982,0.0,0.006660044957917299,54,26,USP1;RAD51;ATR;HES1;FAAP24;ATRIP;FANCG;MLH1;RAD51C;FANCL;FANCA;MUS81;REV3L;ERCC1;PMS2;BLM;BRCA1;RPA2;RMI2;BRCA2;ERCC4;POLH;FANCF;RPA3;RPA4;RPA1,USP1;RAD51;ATR;HES1;FAAP24;ATRIP;FANCG;MLH1;RAD51C;FANCL;FANCA;MUS81;REV3L;ERCC1;PMS2;BLM;BRCA1;RPA2;RMI2;BRCA2;ERCC4;POLH;FANCF
Neurotrophin signaling pathway,0.26982639964952926,1.9167250031312528,0.0,0.006704643473260494,119,103,AKT1;MAP2K1;GRB2;BRAF;MAPK1;TP53;MAPKAPK2;KRAS;CRKL;CALM2;RAF1;SORT1;PDPK1;MAP3K1;MAPK12;CALM1;MAPK14;NRAS;RHOA;FOXO3;PRKCD;IRAK2;RAC1;CDC42;NFKB1;SHC4;SHC1;MAPK9;RPS6KA1;CAMK4;MAPK13;MAPK8;PIK3CA;RPS6KA3;MAPK11;MAP3K5;MAGED1;ABL1;NFKBIB;NFKBIE;RELA;BAX;JUN;BAD;NFKBIA;BCL2;RPS6KA5;GSK3B;PIK3CD;ARHGDIB;PSEN1;MAPK3;MAP3K3;PSEN2;IRAK1;CAMK2A;SH2B3;PIK3R3;MAP2K2;NGFR;IRS1;MAPK7;PLCG2;CRK;NTRK1;FASLG;PLCG1;RIPK2;PIK3R2;ARHGDIA;MAP2K7;NGF;CAMK2G;NTRK2;NTRK3;HRAS;ATF4;PIK3R1;MATK;PIK3CB;CALM3;MAP2K5;ZNF274;AKT3;RPS6KA6;IRAK4;SOS2;CALML6;IRAK3;IKBKB;TRAF6;CAMK2D;AKT2;GAB1;FRS2;RAP1A;PTPN11;SOS1;PRDM4;BDNF;RPS6KA2;CAMK2B;MAPK10,AKT1;MAP2K1;GRB2;BRAF;MAPK1;TP53;MAPKAPK2;KRAS;CRKL;CALM2;RAF1;SORT1;PDPK1;MAP3K1;MAPK12;CALM1;MAPK14;NRAS;RHOA;FOXO3;PRKCD;IRAK2;RAC1;CDC42;NFKB1;SHC4;SHC1;MAPK9;RPS6KA1;CAMK4;MAPK13;MAPK8;PIK3CA;RPS6KA3;MAPK11;MAP3K5;MAGED1;ABL1;NFKBIB;NFKBIE;RELA;BAX;JUN;BAD;NFKBIA;BCL2;RPS6KA5;GSK3B;PIK3CD;ARHGDIB;PSEN1;MAPK3;MAP3K3;PSEN2;IRAK1;CAMK2A;SH2B3;PIK3R3;MAP2K2;NGFR;IRS1;MAPK7;PLCG2;CRK;NTRK1;FASLG;PLCG1;RIPK2;PIK3R2
B cell receptor signaling pathway,0.29356475273704696,1.91016769342629,0.0,0.006716847047110623,71,68,AKT1;MAP2K1;GRB2;MAPK1;PPP3CA;KRAS;RAF1;MALT1;NFATC3;VAV3;INPPL1;NRAS;PPP3R1;PRKCB;NFATC2;RAC1;CARD11;DAPP1;NFKB1;CD22;CD79B;PIK3CA;CD19;NFATC1;NFKBIB;NFKBIE;CD81;RELA;JUN;NFKBIA;CR2;GSK3B;SYK;PIK3CD;LYN;MAPK3;PIK3AP1;BCL10;IFITM1;CD79A;PIK3R3;VAV1;IKBKG;MAP2K2;PLCG2;PIK3R2;CD72;INPP5D;FOS;PPP3CC;HRAS;BTK;PIK3R1;RAC3;FCGR2B;PIK3CB;CHUK;LILRB3;PPP3R2;AKT3;PPP3CB;SOS2;BLNK;IKBKB;AKT2;PTPN6;SOS1;RASGRP3,AKT1;MAP2K1;GRB2;MAPK1;PPP3CA;KRAS;RAF1;MALT1;NFATC3;VAV3;INPPL1;NRAS;PPP3R1;PRKCB;NFATC2;RAC1;CARD11;DAPP1;NFKB1;CD22;CD79B;PIK3CA;CD19;NFATC1;NFKBIB;NFKBIE;CD81;RELA;JUN;NFKBIA;CR2;GSK3B;SYK;PIK3CD;LYN;MAPK3;PIK3AP1;BCL10;IFITM1;CD79A;PIK3R3;VAV1;IKBKG;MAP2K2;PLCG2;PIK3R2;CD72;INPP5D;FOS;PPP3CC;HRAS;BTK;PIK3R1;RAC3;FCGR2B;PIK3CB;CHUK;LILRB3;PPP3R2;AKT3;PPP3CB
Asthma,0.3942492358687078,1.915665918199306,0.0,0.0067625071880391035,31,28,EPX;HLA-DRA;IL13;HLA-DOA;HLA-DRB1;CD40LG;IL10;HLA-DRB4;IL9;MS4A2;HLA-DMB;HLA-DMA;HLA-DPB1;CD40;HLA-DQA2;HLA-DRB5;FCER1A;HLA-DOB;IL5;IL4;HLA-DQB1;HLA-DPA1;RNASE3;CCL11;HLA-DRB3;HLA-DQA1;TNF;FCER1G,EPX;HLA-DRA;IL13;HLA-DOA;HLA-DRB1;CD40LG;IL10;HLA-DRB4;IL9;MS4A2;HLA-DMB;HLA-DMA;HLA-DPB1;CD40;HLA-DQA2;HLA-DRB5;FCER1A;HLA-DOB;IL5;IL4
IL-17 signaling pathway,0.27487569125382055,1.887321136409272,0.010526315789473684,0.007116733755031627,93,85,MAPK1;HSP90AA1;IL13;IKBKE;ELAVL1;IL17RC;CXCL5;IL17RA;MAPK12;CXCL6;MAPK14;MAPK15;HSP90B1;HSP90AB1;TRAF3;CXCL1;FOSL1;CXCL3;NFKB1;CCL20;CASP3;S100A9;TNFAIP3;MAPK9;CCL7;MAP3K7;FADD;MAPK13;CSF3;MAPK8;MAPK11;IL17D;TRAF3IP2;IL17F;RELA;CCL17;CSF2;JUN;NFKBIA;GSK3B;MAPK3;TAB2;IL6;IL5;CXCL10;IL4;CASP8;LCN2;CXCL2;IKBKG;MMP13;IL17RB;DEFB4A;MAPK7;JUND;CEBPB;TBK1;FOS;TRAF4;IL17C;MAPK4;TRAF2;ANAPC5;CCL11;CHUK;MAPK6;IFNG;TRADD;TNF;CXCL8;IL17RE;PTGS2;IL25;TAB3;IKBKB;TRAF6;S100A8;IL1B;MMP1;MMP9;TRAF5;CCL2;IL17A;FOSB;MAPK10,MAPK1;HSP90AA1;IL13;IKBKE;ELAVL1;IL17RC;CXCL5;IL17RA;MAPK12;CXCL6;MAPK14;MAPK15;HSP90B1;HSP90AB1;TRAF3;CXCL1;FOSL1;CXCL3;NFKB1;CCL20;CASP3;S100A9;TNFAIP3;MAPK9;CCL7;MAP3K7;FADD;MAPK13;CSF3;MAPK8;MAPK11;IL17D;TRAF3IP2;IL17F;RELA;CCL17;CSF2;JUN;NFKBIA;GSK3B;MAPK3;TAB2;IL6;IL5;CXCL10;IL4;CASP8;LCN2;CXCL2
